t,Entree,RepInd
1.004040404040403978e+01,1.000000000000000000e+00,2.043570412873624509e+00
1.018181818181818166e+01,1.000000000000000000e+00,2.053984541444792367e+00
1.032323232323232354e+01,1.000000000000000000e+00,2.000839715659312290e+00
1.046464646464646364e+01,1.000000000000000000e+00,1.981549484371553760e+00
1.060606060606060552e+01,1.000000000000000000e+00,1.991949971525724505e+00
1.074747474747474740e+01,1.000000000000000000e+00,2.005376585166597447e+00
1.088888888888888928e+01,1.000000000000000000e+00,2.014541800079845846e+00
1.103030303030302939e+01,1.000000000000000000e+00,1.997451121943748742e+00
1.117171717171717127e+01,1.000000000000000000e+00,2.011456915246891075e+00
1.131313131313131315e+01,1.000000000000000000e+00,2.028503130620649575e+00
1.145454545454545325e+01,1.000000000000000000e+00,1.990725495780233834e+00
1.159595959595959513e+01,1.000000000000000000e+00,2.002034850186195758e+00
1.173737373737373701e+01,1.000000000000000000e+00,2.017648215933292466e+00
1.187878787878787890e+01,1.000000000000000000e+00,1.982450888322044191e+00
1.202020202020201900e+01,1.000000000000000000e+00,2.008336015153816323e+00
1.216161616161616088e+01,1.000000000000000000e+00,1.980865798613719253e+00
1.230303030303030276e+01,1.000000000000000000e+00,1.992737030124345665e+00
1.244444444444444464e+01,1.000000000000000000e+00,1.943108060496809841e+00
1.258585858585858475e+01,1.000000000000000000e+00,1.939461636115779264e+00
1.272727272727272663e+01,1.000000000000000000e+00,1.989459546941782619e+00
1.286868686868686851e+01,1.000000000000000000e+00,2.019043829056388351e+00
1.301010101010101039e+01,1.000000000000000000e+00,2.016300636859621687e+00
1.315151515151515049e+01,1.000000000000000000e+00,2.017725081372202300e+00
1.329292929292929237e+01,1.000000000000000000e+00,1.971879446908427314e+00
1.343434343434343425e+01,1.000000000000000000e+00,2.016320737052125001e+00
1.357575757575757436e+01,1.000000000000000000e+00,2.019302481785312686e+00
1.371717171717171624e+01,1.000000000000000000e+00,1.971057082365827773e+00
1.385858585858585812e+01,1.000000000000000000e+00,1.990195883787511111e+00
1.400000000000000000e+01,1.000000000000000000e+00,1.993164712023278273e+00
